run_id,external_run_id,scale,node_count,cluster_count,bs_count,map_profile,seed,architecture,load,failure_family,healing_id,variant,map_id,map_signature,mean_node_to_ch_distance,max_node_to_ch_distance,mean_ch_to_bs_distance,max_ch_to_bs_distance,cluster_size_mean,cluster_size_max,cluster_size_cv,long_link_ratio,failure_time_s,recovery_applied_delay_s,recovery_applied_s,recovery_event_time_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_stress_score,recovery_map_profile_penalty_s,recovery_queue_norm,recovery_cluster_norm,recovery_energy_norm,recovery_distance_norm,consumed_j,avg_res_j,min_res_j,low_nodes,raw_tx,raw_rx,raw_delivery_ratio,agg_tx,agg_rx,agg_delivery_ratio,pending_raw_total,failed_chs,recovered_clusters,candidate_group_key,is_healing_case,is_baseline,is_failure_no_healing,source_output_dir,split,pred_consumed_j,pred_avg_res_j,pred_low_nodes
campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed043,campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed043_43_20260531_145806,S1,50,3,1,M1_BALANCED,43,A,L1,F0,H0,V1,map_S1_M1_BALANCED_seed043,ed93884cbbe23409d6ea7ff8785391c69416e99c27b05a567f2bfcbbb7de6659,28.877,69.964,54.331,58.259,16.667,21,0.1855,0.18,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.398426,1.472031,0.0,3,13818,13818,1.0,27,27,1.0,1175,0,0,S1|M1_BALANCED|43|A|L1|F0,False,True,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed043_43_20260531_145806,test,26.58916191999999,1.4682167899999998,2.915
campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed044,campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed044_44_20260531_145835,S1,50,3,1,M1_BALANCED,44,A,L1,F0,H0,V1,map_S1_M1_BALANCED_seed044,14424f9a5524aba0b1d2498eadc0618e6ba28f589b5acf3b32a824315e1dab3e,29.749,61.672,45.736,57.959,16.667,24,0.315,0.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.724669,1.465507,0.0,3,13818,13818,1.0,27,27,1.0,1175,0,0,S1|M1_BALANCED|44|A|L1|F0,False,True,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed044_44_20260531_145835,test,26.61883242999997,1.46762338,2.875
campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed045,campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed045_45_20260531_145903,S1,50,3,1,M1_BALANCED,45,A,L1,F0,H0,V1,map_S1_M1_BALANCED_seed045,ffc7ed6e5f7042621c41821150d77232d482665377538a7121aced5c72b374b4,24.669,61.005,44.347,55.935,16.667,28,0.4808,0.14,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.745357,1.505093,0.0,3,13818,13818,1.0,27,27,1.0,1175,0,0,S1|M1_BALANCED|45|A|L1|F0,False,True,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed045_45_20260531_145903,test,24.593794825000046,1.508123969999998,2.89
campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed046,campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed046_46_20260531_145932,S1,50,3,1,M1_BALANCED,46,A,L1,F0,H0,V1,map_S1_M1_BALANCED_seed046,f0248c7cd2cedeca16c1fbf83336930f6ea0ac98504a5089a942a48cff41ff68,33.549,72.303,53.334,61.3,16.667,30,0.5987,0.18,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.691703,1.446166,0.0,2,13818,13818,1.0,27,27,1.0,1175,0,0,S1|M1_BALANCED|46|A|L1|F0,False,True,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed046_46_20260531_145932,test,28.057631294999954,1.4388472649999977,2.755
campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed047,campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed047_47_20260531_150000,S1,50,3,1,M1_BALANCED,47,A,L1,F0,H0,V1,map_S1_M1_BALANCED_seed047,52c5aa956d3ce3fb01c34c78c05252e5640c364d94ad15c78a9327d3726754d8,26.135,51.702,47.142,60.117,16.667,28,0.4808,0.14,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.229112,1.495418,0.0,3,13818,13818,1.0,27,27,1.0,1175,0,0,S1|M1_BALANCED|47|A|L1|F0,False,True,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed047_47_20260531_150000,test,25.021734269999996,1.4995653249999998,2.875
campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed048,campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed048_48_20260531_150029,S1,50,3,1,M1_BALANCED,48,A,L1,F0,H0,V1,map_S1_M1_BALANCED_seed048,579e7de55d3d4698c8f07d292e77fdff87ccc51b54d062512b819d254ed21cd3,25.531,59.706,45.354,58.612,16.667,21,0.2514,0.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.100743,1.497985,0.0,3,13818,13818,1.0,27,27,1.0,1175,0,0,S1|M1_BALANCED|48|A|L1|F0,False,True,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed048_48_20260531_150029,test,24.872513315000045,1.5025497499999978,2.97
campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed049,campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed049_49_20260531_150058,S1,50,3,1,M1_BALANCED,49,A,L1,F0,H0,V1,map_S1_M1_BALANCED_seed049,fa3d605de694d03de3c5815ee54aeccf8e411de120fbaede4640c7504be8b5b0,27.383,45.462,46.493,49.219,16.667,20,0.2417,0.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.608755,1.487825,0.0,3,13818,13818,1.0,27,27,1.0,1175,0,0,S1|M1_BALANCED|49|A|L1|F0,False,True,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed049_49_20260531_150058,test,25.5596166,1.4888078299999992,2.885
campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed050,campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed050_50_20260531_150126,S1,50,3,1,M1_BALANCED,50,A,L1,F0,H0,V1,map_S1_M1_BALANCED_seed050,5f568ea03140468b3a584511034c6e575e0c28bd80adc2fc1789cee1c850ef05,24.878,53.193,45.473,59.676,16.667,29,0.5284,0.24,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.744514,1.50511,0.0,3,13818,13818,1.0,27,27,1.0,1175,0,0,S1|M1_BALANCED|50|A|L1|F0,False,True,False,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F0_H0_seed050_50_20260531_150126,test,24.60116255500004,1.507976619999998,2.985
campaign_v3_S1_M1_BALANCED_A_L1_F1_H0_seed043,campaign_v3_S1_M1_BALANCED_A_L1_F1_H0_seed043_43_20260531_145807,S1,50,3,1,M1_BALANCED,43,A,L1,F1,H0,V2,map_S1_M1_BALANCED_seed043,ed93884cbbe23409d6ea7ff8785391c69416e99c27b05a567f2bfcbbb7de6659,28.877,69.964,54.331,58.259,16.667,21,0.1855,0.18,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.554732,1.56144,0.0,3,10528,10528,1.0,19,19,1.0,1245,1,0,S1|M1_BALANCED|43|A|L1|F1,False,False,True,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H0_seed043_43_20260531_145807,test,20.443397809999976,1.5662350500000009,2.855
campaign_v3_S1_M1_BALANCED_A_L1_F1_H0_seed044,campaign_v3_S1_M1_BALANCED_A_L1_F1_H0_seed044_44_20260531_145835,S1,50,3,1,M1_BALANCED,44,A,L1,F1,H0,V2,map_S1_M1_BALANCED_seed044,14424f9a5524aba0b1d2498eadc0618e6ba28f589b5acf3b32a824315e1dab3e,29.749,61.672,45.736,57.959,16.667,24,0.315,0.2,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.250263,1.546517,0.0,3,10763,10763,1.0,19,19,1.0,1240,1,0,S1|M1_BALANCED|44|A|L1|F1,False,False,True,/home/cyfer/FYP/WSN_simulation_V3/runs/S1_50/outputs_production_50seed/run_campaign_v3_S1_M1_BALANCED_A_L1_F1_H0_seed044_44_20260531_145835,test,20.57924951499996,1.5612934400000014,2.885
